Country,Year,HAQ_Index,Life_Expectancy,Health_Expenditure,Efficiency_Score
Cameroon,2015,44.4,59.6866,144.31366,0.307663183097151
Canada,2005,84.7,80.131,3262.4387,0.025962173634097706
Canada,2010,86.3,81.3363,4266.8203,0.02022583421195404
Canada,2015,87.6,81.9084,4773.748,0.018350361183707226
Cape Verde,2005,53.7,70.9365,177.24402,0.30297213976527954
Cape Verde,2010,57.9,72.5066,246.42574,0.2349592213865321
Cape Verde,2015,61.7,74.0963,298.08395,0.20698866879615624
Central African Republic,2005,28.0,48.207,31.379744,0.8922953609819124
Central African Republic,2010,28.8,46.8707,33.404423,0.8621612772655884
Central African Republic,2015,28.6,51.9338,38.707584,0.7388732916009432
Chad,2005,34.1,48.86,73.45309,0.4642418719212493
Chad,2010,36.3,50.1067,71.903435,0.5048437532921758
Chad,2015,37.7,51.3196,80.89576,0.4660318414710487
Chile,2005,72.0,78.4589,831.3057,0.08661073778274346
Chile,2010,73.9,79.0954,1221.9259,0.06047829905234025
Chile,2015,76.0,80.0079,1875.546,0.040521533462788965
China,2005,63.7,74.085,210.54553,0.30254738725633357
China,2010,69.9,75.6679,384.183,0.18194454205417732
China,2015,74.2,76.9755,647.3626,0.11461891681725203
Colombia,2005,61.6,73.1557,506.44348,0.1216325264963427
Colombia,2010,64.4,74.8757,758.86346,0.08486375137893713
Colombia,2015,67.8,76.0665,999.68,0.06782170294494239
Comoros,2005,44.1,60.8827,127.183014,0.34674441667186784
Comoros,2010,47.2,62.7473,118.42652,0.3985593767341977
Comoros,2015,47.7,64.4727,135.70232,0.35150467582278627
Congo,2005,39.3,58.7302,73.500854,0.5346876649895795
Congo,2010,41.2,61.7311,94.90238,0.43413031369708543
Congo,2015,43.5,63.6622,110.7634,0.3927290061518516
Costa Rica,2005,68.6,78.8766,678.6233,0.1010870095382814
Costa Rica,2010,70.8,79.354,1067.7583,0.06630714085762668
Costa Rica,2015,72.9,80.4069,1343.1595,0.05427501350360847
Cote d'Ivoire,2005,37.6,52.4324,110.78902,0.3393838125835936
Cote d'Ivoire,2010,40.7,55.282,151.51944,0.2686123971947098
Cote d'Ivoire,2015,42.4,58.2807,141.79216,0.29902922700380613
Croatia,2005,76.8,75.5705,1056.0149,0.07272624657095274
Croatia,2010,78.9,76.6761,1599.1201,0.04933963371481604
Croatia,2015,81.6,77.6329,1569.1814,0.05200163601225454
Cuba,2005,70.5,77.5401,1069.3662,0.06592690137391663
Cuba,2010,72.1,77.8757,2028.6156,0.03554147961792268
Cuba,2015,73.5,77.7453,2911.4827,0.025244869220758206
Cyprus,2005,79.2,79.1975,1520.4254,0.05209068462023852
Cyprus,2010,82.6,80.6325,2205.475,0.03745224951541051
Cyprus,2015,85.3,81.4637,2136.1167,0.039932275235711606
Democratic Republic of Congo,2005,38.1,54.0014,20.326813,1.8743715505229472
Democratic Republic of Congo,2010,39.3,56.4111,23.049753,1.7050074245914912
Democratic Republic of Congo,2015,40.4,58.6576,34.101242,1.184707583377755
Denmark,2005,81.9,78.2259,3104.374,0.02638213050360556
Denmark,2010,83.6,79.2473,4560.7188,0.01833044387652227
Denmark,2015,85.7,80.7394,5074.4746,0.0168884479193176
Djibouti,2005,40.9,58.5483,96.37851,0.4243684613924826
Djibouti,2010,43.2,60.7431,103.96272,0.41553356818675
Djibouti,2015,44.7,62.8326,142.73933,0.3131582584841894
Dominica,2005,59.0,72.0161,394.29004,0.1496360395002623
Dominica,2010,58.5,71.6797,531.77496,0.11000894062405647
Dominica,2015,58.1,69.9683,578.5132,0.10042986054596507
Dominican Republic,2005,58.6,71.0435,352.53394,0.16622512998322944
Dominican Republic,2010,60.8,72.0393,554.7809,0.1095928140280244
Dominican Republic,2015,62.5,72.9821,701.02515,0.0891551465735573
Ecuador,2005,56.1,73.9092,436.9382,0.12839344328328353
Ecuador,2010,58.6,75.1876,569.4583,0.10290481322337386
Ecuador,2015,61.2,76.2219,844.97235,0.072428405497529
Egypt,2005,56.9,68.3552,339.2203,0.1677376029677469
Egypt,2010,58.2,69.0782,385.94354,0.1507992593942627
Egypt,2015,61.0,70.1346,581.8645,0.1048354041190002
El Salvador,2005,59.6,69.3356,486.86426,0.1224160508310879
El Salvador,2010,62.2,70.9088,556.32684,0.1118047800821546
El Salvador,2015,64.4,70.9524,694.85596,0.09268107882387597
Equatorial Guinea,2005,42.9,55.7659,313.16473,0.13698860660330425
Equatorial Guinea,2010,45.6,58.3445,453.65506,0.10051689933757159
Equatorial Guinea,2015,48.4,60.6347,478.57883,0.1011327642720845
Eritrea,2005,38.8,60.6276,96.57922,0.40174273513494924
Eritrea,2010,37.8,63.6653,67.75974,0.5578533801930173
Eritrea,2015,38.1,65.9094,77.799065,0.4897231091401934
